zip,cbsa,geo_name,rpp
60477,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60478,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60479,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60480,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60481,28100,"Kankakee, IL ",92.9
60481,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60482,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60484,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60487,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60490,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60491,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60499,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60501,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60502,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60503,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60504,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60505,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60506,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60507,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60510,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60511,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60512,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60513,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60514,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60515,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60516,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60517,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60518,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60518,36837,NA,NA
60518,19940,NA,NA
60519,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60520,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60521,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60522,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60523,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60525,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60526,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60527,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60530,19940,NA,NA
60530,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60531,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60531,36837,NA,NA
60532,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60534,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60536,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60537,36837,NA,NA
60537,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60538,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60539,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60540,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60541,36837,NA,NA
